Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-09-19,30.64,32.34,30.5,31.62,82861.447,2024-09-19 23:59:59.999,2613164.45059000,15643,40783.78800000,1284404.78310000,0
2024-09-20,31.61,32.54,30.26,31.28,57055.385,2024-09-20 23:59:59.999,1783626.03187000,11920,27576.94100000,862802.41847000,0
2024-09-21,31.28,31.56,30.48,31.34,30346.639,2024-09-21 23:59:59.999,944209.99492000,6154,13049.58200000,406229.35402000,0
2024-09-22,31.34,31.45,29.39,30.19,61055.313,2024-09-22 23:59:59.999,1847083.28384000,12228,34313.71200000,1038089.31043000,0
2024-09-23,30.23,31.06,28.61,29.63,81049.946,2024-09-23 23:59:59.999,2395024.18459000,16789,38298.50700000,1128936.25212000,0
2024-09-24,29.62,30.09,28.8,29.36,64575.531,2024-09-24 23:59:59.999,1901520.62911000,11173,34453.28400000,1014771.33715000,0
2024-09-25,29.37,29.92,28.12,28.37,62711.948,2024-09-25 23:59:59.999,1829894.18674000,11985,24570.30800000,716869.35751000,0
2024-09-26,28.4,31.5,28.07,30.24,128566.33,2024-09-26 23:59:59.999,3870022.60202000,27696,61761.73600000,1855432.41795000,0
2024-09-27,30.22,31.41,30.09,30.43,63707.088,2024-09-27 23:59:59.999,1952402.79471000,13947,29673.03200000,910938.06107000,0
2024-09-28,30.43,31.39,28.82,29.5,78232.377,2024-09-28 23:59:59.999,2372562.19347000,15541,37268.71400000,1130321.62010000,0
2024-09-29,29.5,29.54,29.0,29.08,54515.077,2024-09-29 23:59:59.999,1592261.92619000,9687,23379.05300000,682910.56923000,0
2024-09-30,29.07,29.09,27.47,27.76,69345.302,2024-09-30 23:59:59.999,1974741.22423000,12182,33502.22200000,953932.94768000,0
2024-10-01,27.79,28.61,25.05,26.64,108226.911,2024-10-01 23:59:59.999,2962784.55797000,23945,49015.12300000,1346599.10242000,0
2024-10-02,26.63,27.58,25.3,25.92,57735.364,2024-10-02 23:59:59.999,1530591.31261000,11651,26834.63600000,712146.87365000,0
2024-10-03,25.93,26.4,24.4,25.64,62868.233,2024-10-03 23:59:59.999,1590130.08022000,13853,29926.01600000,756216.89766000,0
2024-10-04,25.65,27.1,25.36,26.81,41500.745,2024-10-04 23:59:59.999,1102954.53551000,9693,23192.15000000,616880.86164000,0
